0	0	0
1.049	1400	1400
1.084	2800	4200
1.119	5600	9800
1.154	8400	18200
1.155	2800	21000
1.189	8400	29400
1.19	8400	37800
1.191	5600	43400
1.224	8400	51800
1.225	8400	60200
1.226	9800	70000
1.227	8400	78400
1.228	9800	88200
1.26	8400	96600
1.261	8400	105000
1.262	9800	114800
1.263	8400	123200
1.264	9800	133000
1.265	8400	141400
1.266	9800	151200
1.267	8400	159600
1.268	9800	169400
1.269	8400	177800
1.296	8400	186200
1.297	8400	194600
1.298	9800	204400
1.299	8400	212800
1.3	9800	222600
1.301	8400	231000
1.302	9800	240800
1.303	8400	249200
1.305	9800	259000
1.306	8400	267400
1.307	9800	277200
1.308	8400	285600
1.309	9800	295400
1.31	8400	303800
1.311	9800	313600
1.312	8400	322000
1.313	8400	330400
1.315	9800	340200
1.316	8400	348600
1.317	8400	357000
1.325	8400	365400
1.331	8400	373800
1.332	9800	383600
1.333	8400	392000
1.335	9800	401800
1.336	8400	410200
1.337	9800	420000
1.338	8400	428400
1.339	9800	438200
1.34	8400	446600
1.341	9800	456400
1.342	8400	464800
1.343	9800	474600
1.345	8400	483000
1.346	9800	492800
1.347	8400	501200
1.348	8400	509600
1.349	9800	519400
1.35	8400	527800
1.351	9800	537600
1.352	8400	546000
1.353	9800	555800
1.355	8400	564200
1.356	9800	574000
1.357	8400	582400
1.358	9800	592200
1.359	8400	600600
1.36	9800	610400
1.361	8400	618800
1.362	9800	628600
1.363	8400	637000
1.365	9800	646800
1.366	8400	655200
1.367	8400	663600
1.368	9800	673400
1.369	8400	681800
1.37	9800	691600
1.371	8400	700000
1.372	9800	709800
1.373	8400	718200
1.375	9800	728000
1.376	8400	736400
1.377	9800	746200
1.378	8400	754600
1.379	9800	764400
1.38	8400	772800
1.381	9800	782600
1.382	8400	791000
1.383	9800	800800
1.385	8400	809200
1.386	8400	817600
1.387	9800	827400
1.388	8400	835800
1.389	9800	845600
1.39	8400	854000
1.391	9800	863800
1.392	8400	872200
1.393	9800	882000
1.395	8400	890400
1.396	9800	900200
1.397	8400	908600
1.398	9800	918400
1.399	8400	926800
1.4	9800	936600
1.401	8400	945000
1.402	9800	954800
1.403	8400	963200
1.405	8400	971600
1.406	9800	981400
1.407	8400	989800
1.408	9800	999600
1.409	8400	1.008e+06
1.41	9800	1.0178e+06
1.411	8400	1.0262e+06
1.412	9800	1.036e+06
1.413	8400	1.0444e+06
1.415	9800	1.0542e+06
1.416	8400	1.0626e+06
1.417	9800	1.0724e+06
1.418	8400	1.0808e+06
1.419	9800	1.0906e+06
1.42	8400	1.099e+06
1.421	9800	1.1088e+06
1.422	8400	1.1172e+06
1.423	8400	1.1256e+06
1.425	9800	1.1354e+06
1.426	8400	1.1438e+06
1.427	9800	1.1536e+06
1.428	8400	1.162e+06
1.429	9800	1.1718e+06
1.43	8400	1.1802e+06
1.431	9800	1.19e+06
1.432	8400	1.1984e+06
1.433	9800	1.2082e+06
1.435	8400	1.2166e+06
1.436	9800	1.2264e+06
1.437	8400	1.2348e+06
1.438	9800	1.2446e+06
1.439	8400	1.253e+06
1.44	9800	1.2628e+06
1.441	8400	1.2712e+06
1.442	8400	1.2796e+06
1.443	9800	1.2894e+06
1.445	8400	1.2978e+06
1.446	9800	1.3076e+06
1.447	8400	1.316e+06
1.448	9800	1.3258e+06
1.449	8400	1.3342e+06
1.45	9800	1.344e+06
1.451	8400	1.3524e+06
1.452	9800	1.3622e+06
1.453	8400	1.3706e+06
1.455	9800	1.3804e+06
1.456	8400	1.3888e+06
1.457	9800	1.3986e+06
1.458	8400	1.407e+06
1.459	9800	1.4168e+06
1.46	8400	1.4252e+06
1.461	8400	1.4336e+06
1.462	9800	1.4434e+06
1.463	8400	1.4518e+06
1.465	9800	1.4616e+06
1.466	8400	1.47e+06
1.467	9800	1.4798e+06
1.468	8400	1.4882e+06
1.469	9800	1.498e+06
1.47	8400	1.5064e+06
1.471	9800	1.5162e+06
1.472	8400	1.5246e+06
1.473	9800	1.5344e+06
1.475	8400	1.5428e+06
