% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.612	1	1	162	3	1	2	573
1.613	1	1	162	4	1	2	573
1.614	1	1	162	5	1	2	573
1.615	1	1	162	6	1	2	573
1.616	1	1	162	7	1	2	573
1.617	1	1	162	8	1	2	573
1.617	2	1	162	8	1	2	573
1.618	1	1	162	9	1	2	573
1.618	2	1	162	9	1	2	573
1.619	1	1	162	10	1	28	9422
1.619	2	1	162	10	1	2	573
1.62	1	1	163	1	1	28	9422
1.62	2	1	163	1	1	2	573
1.621	1	1	163	2	1	28	9422
1.621	2	1	163	2	1	2	573
1.622	1	1	163	3	1	28	9422
1.622	2	1	163	3	1	2	573
1.623	1	1	163	4	1	28	9422
1.623	2	1	163	4	1	2	573
1.624	1	1	163	5	1	2	573
1.624	2	1	163	5	1	2	573
1.625	1	1	163	6	1	28	9422
1.626	1	1	163	7	1	28	9422
1.627	1	1	163	8	1	28	9422
1.628	1	1	163	9	1	28	9422
1.629	1	1	163	10	1	28	9422
1.63	1	1	164	1	1	28	9422
1.65	2	1	166	1	1	2	573
1.66	1	1	167	1	1	2	573
1.661	1	1	167	2	1	2	573
1.662	1	1	167	3	1	2	573
1.663	1	1	167	4	1	2	573
1.664	1	1	167	5	1	2	573
1.665	1	1	167	6	1	2	573
1.666	1	1	167	7	1	2	573
1.667	1	1	167	8	1	28	9422
1.668	1	1	167	9	1	28	9422
1.668	2	1	167	9	1	28	9422
1.669	1	1	167	10	1	28	9422
1.669	2	1	167	10	1	28	9422
1.67	1	1	168	1	1	28	9422
1.67	2	1	168	1	1	28	9422
1.671	1	1	168	2	1	28	9422
1.671	2	1	168	2	1	28	9422
1.672	1	1	168	3	1	28	9422
1.672	2	1	168	3	1	28	9422
1.673	1	1	168	4	1	28	9422
1.673	2	1	168	4	1	28	9422
1.674	1	1	168	5	1	28	9422
1.674	2	1	168	5	1	28	9422
1.694	1	1	170	5	1	2	573
1.695	1	1	170	6	1	2	573
1.696	1	1	170	7	1	2	573
1.697	1	1	170	8	1	2	573
1.698	1	1	170	9	1	2	573
1.699	1	1	170	10	1	2	573
1.699	2	1	170	10	1	2	573
1.7	1	1	171	1	1	2	573
1.7	2	1	171	1	1	2	573
1.701	1	1	171	2	1	28	9422
1.701	2	1	171	2	1	2	573
1.702	1	1	171	3	1	28	9422
1.702	2	1	171	3	1	2	573
1.703	1	1	171	4	1	28	9422
1.703	2	1	171	4	1	2	573
1.704	1	1	171	5	1	28	9422
1.704	2	1	171	5	1	2	573
1.705	1	1	171	6	1	28	9422
1.705	2	1	171	6	1	2	573
1.706	1	1	171	7	1	2	573
1.706	2	1	171	7	1	2	573
1.707	1	1	171	8	1	28	9422
1.708	1	1	171	9	1	28	9422
1.709	1	1	171	10	1	28	9422
1.71	1	1	172	1	1	28	9422
1.711	1	1	172	2	1	28	9422
1.712	1	1	172	3	1	28	9422
1.713	1	1	172	4	1	28	9422
1.733	1	1	174	4	1	2	573
1.733	2	1	174	4	1	2	573
1.734	1	1	174	5	1	2	573
1.744	1	1	175	5	1	2	573
1.745	1	1	175	6	1	2	573
1.746	1	1	175	7	1	2	573
1.747	1	1	175	8	1	2	573
1.748	1	1	175	9	1	2	573
1.749	1	1	175	10	1	2	573
1.75	1	1	176	1	1	2	573
1.751	1	1	176	2	1	28	9422
1.751	2	1	176	2	1	2	573
1.752	1	1	176	3	1	28	9422
1.752	2	1	176	3	1	2	573
1.753	1	1	176	4	1	28	9422
1.753	2	1	176	4	1	2	573
1.754	1	1	176	5	1	28	9422
1.754	2	1	176	5	1	2	573
1.755	1	1	176	6	1	28	9422
1.755	2	1	176	6	1	2	573
1.756	1	1	176	7	1	28	9422
1.756	2	1	176	7	1	2	573
1.757	1	1	176	8	1	28	9422
1.757	2	1	176	8	1	2	573
1.758	1	1	176	9	1	28	9422
1.758	2	1	176	9	1	2	573
1.759	1	1	176	10	1	2	573
1.76	1	1	177	1	1	2	573
1.761	1	1	177	2	1	2	573
1.762	1	1	177	3	1	2	573
1.763	1	1	177	4	1	2	573
1.764	1	1	177	5	1	2	573
1.778	1	1	178	9	1	2	573
1.779	1	1	178	10	1	2	573
1.78	1	1	179	1	1	2	573
1.781	1	1	179	2	1	2	573
1.782	1	1	179	3	1	2	573
1.783	1	1	179	4	1	2	573
1.783	2	1	179	4	1	2	573
1.784	1	1	179	5	1	2	573
1.784	2	1	179	5	1	2	573
1.785	1	1	179	6	1	28	9422
1.785	2	1	179	6	1	2	573
1.786	1	1	179	7	1	28	9422
1.786	2	1	179	7	1	2	573
1.787	1	1	179	8	1	28	9422
1.787	2	1	179	8	1	2	573
1.788	1	1	179	9	1	28	9422
1.788	2	1	179	9	1	2	573
1.789	1	1	179	10	1	28	9422
1.789	2	1	179	10	1	2	573
1.79	1	1	180	1	1	2	573
1.79	2	1	180	1	1	2	573
1.791	1	1	180	2	1	28	9422
1.792	1	1	180	3	1	28	9422
1.793	1	1	180	4	1	28	9422
1.794	1	1	180	5	1	28	9422
1.795	1	1	180	6	1	28	9422
1.796	1	1	180	7	1	28	9422
1.816	2	1	182	7	1	2	573
1.826	1	1	183	7	1	2	573
1.827	1	1	183	8	1	2	573
1.828	1	1	183	9	1	2	573
1.829	1	1	183	10	1	2	573
1.83	1	1	184	1	1	2	573
1.831	1	1	184	2	1	2	573
1.832	1	1	184	3	1	2	573
1.833	1	1	184	4	1	28	9422
1.834	1	1	184	5	1	28	9422
1.834	2	1	184	5	1	28	9422
1.835	1	1	184	6	1	28	9422
1.835	2	1	184	6	1	28	9422
1.836	1	1	184	7	1	28	9422
1.836	2	1	184	7	1	28	9422
1.837	1	1	184	8	1	28	9422
1.837	2	1	184	8	1	28	9422
1.838	1	1	184	9	1	28	9422
1.838	2	1	184	9	1	28	9422
1.839	1	1	184	10	1	28	9422
1.839	2	1	184	10	1	28	9422
1.84	1	1	185	1	1	28	9422
1.84	2	1	185	1	1	28	9422
1.86	1	1	187	1	1	2	573
1.861	1	1	187	2	1	2	573
1.862	1	1	187	3	1	2	573
1.863	1	1	187	4	1	2	573
1.864	1	1	187	5	1	2	573
1.865	1	1	187	6	1	2	573
1.865	2	1	187	6	1	2	573
1.866	1	1	187	7	1	2	573
1.866	2	1	187	7	1	2	573
1.867	1	1	187	8	1	28	9422
1.867	2	1	187	8	1	2	573
1.868	1	1	187	9	1	28	9422
1.868	2	1	187	9	1	2	573
1.869	1	1	187	10	1	28	9422
1.869	2	1	187	10	1	2	573
1.87	1	1	188	1	1	28	9422
1.87	2	1	188	1	1	2	573
1.871	1	1	188	2	1	28	9422
1.871	2	1	188	2	1	2	573
1.872	1	1	188	3	1	2	573
1.872	2	1	188	3	1	2	573
1.873	1	1	188	4	1	28	9422
1.874	1	1	188	5	1	28	9422
1.875	1	1	188	6	1	28	9422
1.876	1	1	188	7	1	28	9422
1.877	1	1	188	8	1	28	9422
1.878	1	1	188	9	1	28	9422
1.879	1	1	188	10	1	28	9422
1.899	1	1	190	10	1	2	573
1.899	2	1	190	10	1	2	573
1.9	1	1	191	1	1	2	573
1.91	1	1	192	1	1	2	573
1.911	1	1	192	2	1	2	573
1.912	1	1	192	3	1	2	573
1.913	1	1	192	4	1	2	573
1.914	1	1	192	5	1	2	573
1.915	1	1	192	6	1	2	573
1.916	1	1	192	7	1	2	573
1.917	1	1	192	8	1	28	9422
1.917	2	1	192	8	1	2	573
1.918	1	1	192	9	1	28	9422
1.918	2	1	192	9	1	2	573
1.919	1	1	192	10	1	28	9422
1.919	2	1	192	10	1	2	573
1.92	1	1	193	1	1	28	9422
1.92	2	1	193	1	1	2	573
1.921	1	1	193	2	1	2	573
1.921	2	1	193	2	1	2	573
1.922	1	1	193	3	1	28	9422
1.922	2	1	193	3	1	2	573
1.923	1	1	193	4	1	28	9422
1.923	2	1	193	4	1	2	573
1.924	1	1	193	5	1	28	9422
1.924	2	1	193	5	1	2	573
1.925	1	1	193	6	1	2	573
1.926	1	1	193	7	1	2	573
1.927	1	1	193	8	1	2	573
1.928	1	1	193	9	1	2	573
1.929	1	1	193	10	1	2	573
1.93	1	1	194	1	1	2	573
1.944	1	1	195	5	1	2	573
1.945	1	1	195	6	1	2	573
1.946	1	1	195	7	1	2	573
1.947	1	1	195	8	1	2	573
1.948	1	1	195	9	1	2	573
1.949	1	1	195	10	1	2	573
1.949	2	1	195	10	1	2	573
1.95	1	1	196	1	1	2	573
1.95	2	1	196	1	1	2	573
1.951	1	1	196	2	1	28	9422
1.951	2	1	196	2	1	2	573
1.952	1	1	196	3	1	28	9422
1.952	2	1	196	3	1	2	573
1.953	1	1	196	4	1	28	9422
1.953	2	1	196	4	1	2	573
1.954	1	1	196	5	1	28	9422
1.954	2	1	196	5	1	2	573
1.955	1	1	196	6	1	28	9422
1.955	2	1	196	6	1	2	573
1.956	1	1	196	7	1	2	573
1.956	2	1	196	7	1	2	573
1.957	1	1	196	8	1	28	9422
1.958	1	1	196	9	1	28	9422
1.959	1	1	196	10	1	28	9422
1.96	1	1	197	1	1	28	9422
1.961	1	1	197	2	1	2	573
1.962	1	1	197	3	1	28	9422
1.982	2	1	199	3	1	2	573
1.992	1	1	200	3	1	28	9422
1.993	1	1	200	4	1	28	9422
1.994	1	1	200	5	1	28	9422
1.995	1	1	200	6	1	28	9422
1.996	1	1	200	7	1	28	9422
1.997	1	1	200	8	1	28	9422
1.998	1	1	200	9	1	28	9422
1.999	1	1	200	10	1	28	9422
2	1	1	201	1	1	28	9422
2	2	1	201	1	1	28	9422
2.001	1	1	201	2	1	2	573
2.001	2	1	201	2	1	2	573
2.002	1	1	201	3	1	28	9422
2.002	2	1	201	3	1	2	573
2.003	1	1	201	4	1	28	9422
2.003	2	1	201	4	1	2	573
2.004	1	1	201	5	1	28	9422
2.004	2	1	201	5	1	2	573
2.005	1	1	201	6	1	28	9422
2.005	2	1	201	6	1	2	573
2.006	1	1	201	7	1	28	9422
