0	0
1.049	1400
1.084	2800
1.119	4200
1.154	4200
1.189	8400
1.224	8400
1.225	4200
1.259	8400
1.26	8400
1.294	8400
1.295	8400
1.296	8400
1.329	8400
1.33	8400
1.331	9800
1.332	8400
1.333	2800
1.364	8400
1.365	8400
1.366	9800
1.367	8400
1.368	9800
1.369	8400
1.37	5600
1.393	8400
1.394	8400
1.395	8400
1.45	8400
1.451	8400
1.452	9800
1.453	8400
1.454	9800
1.455	8400
1.456	9800
1.457	8400
1.458	9800
1.459	8400
1.46	9800
1.461	1400
1.489	8400
1.49	8400
1.491	9800
1.492	8400
1.493	9600
1.494	9440
1.495	8160
1.496	9520
1.497	9520
1.498	8160
1.499	9520
1.5	9520
1.501	8160
1.502	9520
1.503	4080
1.528	8160
1.529	9520
1.53	8160
1.531	9520
1.532	9520
1.533	8160
1.534	9520
1.535	9520
1.536	8160
1.537	9520
1.538	9520
1.539	8160
1.54	9520
1.541	9520
1.542	4080
1.573	8160
1.574	9520
1.575	8160
1.576	9520
1.577	9520
1.578	8160
1.579	9520
1.58	9520
1.581	8160
1.582	9520
1.583	9520
1.584	8160
1.585	9520
1.586	9520
1.587	4080
1.612	8160
1.613	9520
1.614	8160
1.615	9520
1.616	9520
1.617	8160
1.618	9520
1.619	9520
1.62	8160
1.621	9520
1.622	9520
1.623	8160
1.624	9520
1.625	8160
1.655	8160
1.656	9520
1.657	8160
1.658	9520
1.659	9520
1.66	8160
1.661	9520
1.662	9520
1.663	8160
1.664	9520
1.665	9520
1.666	8160
1.667	9520
1.668	9520
1.669	4080
1.694	8160
1.695	9520
1.696	8160
1.697	9520
1.698	9520
1.699	8160
1.7	9520
1.701	9520
1.702	8160
1.703	9520
1.704	9520
1.705	8160
1.706	9520
1.707	9520
1.708	4080
1.739	8160
1.74	9520
1.741	8160
1.742	9520
1.743	9520
1.744	8160
1.745	9520
1.746	9520
1.747	8160
1.748	9520
1.749	9520
1.75	8160
1.751	9520
1.752	9520
1.753	4080
1.778	8160
1.779	9520
1.78	8160
1.781	9520
1.782	9520
1.783	8160
1.784	9520
1.785	9520
1.786	8160
1.787	9520
1.788	9520
1.789	8160
1.79	9520
1.791	8160
1.821	8160
1.822	9520
1.823	8160
1.824	9520
1.825	9520
1.826	8160
1.827	9520
1.828	9520
1.829	8160
1.83	9520
1.831	9520
1.832	8160
1.833	9520
1.834	9520
1.835	4080
1.86	8160
1.861	9520
1.862	8160
1.863	9520
1.864	9520
1.865	8160
1.866	9520
1.867	9520
1.868	8160
1.869	9520
1.87	9520
1.871	8160
1.872	9520
1.873	9520
1.874	4080
1.905	8160
1.906	9520
1.907	8160
1.908	9520
1.909	9520
1.91	8160
1.911	9520
1.912	9520
1.913	8160
1.914	9520
1.915	9520
1.916	8160
1.917	9520
1.918	9520
1.919	4080
1.944	8160
1.945	9520
1.946	8160
1.947	9520
1.948	9520
1.949	8160
1.95	9520
1.951	9520
1.952	8160
1.953	9520
1.954	9520
1.955	8160
1.956	9520
1.957	8160
1.987	8160
1.988	9520
1.989	8160
1.99	9520
1.991	9520
1.992	8160
1.993	9520
1.994	9520
1.995	8160
1.996	9520
1.997	9520
1.998	8160
1.999	9520
2	9520
2.001	4080
2.026	8160
2.027	9520
2.028	8160
2.029	9520
2.03	9520
2.031	8160
2.032	9520
2.033	9520
2.034	8160
2.035	9520
2.036	9520
2.037	8160
2.038	9520
2.039	9520
2.04	4080
2.075	8160
2.076	9520
2.077	8160
2.078	9520
2.079	9520
2.08	8160
2.081	9520
2.082	9520
2.083	8160
2.084	9520
2.085	9520
2.086	8160
2.087	9520
2.088	9520
2.089	4080
2.117	8160
2.118	9520
2.119	8160
2.12	9520
2.121	9520
2.122	8160
2.123	9520
2.124	9520
2.125	8160
2.126	9520
2.127	9520
2.128	8160
2.129	9520
2.13	9520
2.131	4080
2.157	1360
2.158	8160
2.159	9520
2.16	8160
2.161	9520
2.162	9520
2.163	8160
2.164	9520
2.165	9520
2.166	8160
2.167	9520
2.168	9520
2.169	8160
2.17	9520
2.171	9520
2.172	2720
2.204	8160
2.205	9520
2.206	8160
2.207	9520
2.208	9520
2.209	8160
2.21	9520
2.211	9520
2.212	8160
2.213	9520
2.214	9520
2.215	8160
2.216	9520
2.217	9520
2.218	4080
2.253	8160
2.254	9520
2.255	8160
2.256	9520
2.257	9520
2.258	8160
2.259	9520
2.26	9520
2.261	8160
2.262	9520
2.263	9520
2.264	8160
2.265	9520
2.266	9520
2.267	4080
2.295	8160
2.296	9520
2.297	8160
2.298	9520
2.299	9520
2.3	8160
2.301	9520
2.302	9520
2.303	8160
2.304	9520
2.324	1360
2.329	8160
2.33	9520
2.331	8160
2.332	9520
