% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
1869	1	1	1	0	2	573	0	1	1
1870	1	1	1	0	2	573	0	1	1
1871	1	1	1	0	2	573	0	1	1
1871	2	1	1	0	2	573	0	1	1
1872	1	1	1	0	2	573	0	1	1
1873	1	1	1	0	28	9422	0	1	1
1874	1	1	1	0	28	9422	0	1	1
1875	1	1	1	0	28	9422	0	1	1
1876	1	1	1	0	28	9422	0	1	1
1877	1	1	1	0	28	9422	0	1	1
1878	1	1	1	0	2	573	0	1	1
1905	1	1	1	0	2	573	0	1	1
1905	2	1	1	0	2	573	0	1	1
1916	1	1	1	0	2	573	0	1	1
1917	1	1	1	0	2	573	0	1	1
1918	1	1	1	0	2	573	0	1	1
1919	1	1	1	0	2	573	0	1	1
1920	1	1	1	0	2	573	0	1	1
1921	1	1	1	0	2	573	0	1	1
1922	1	1	1	0	2	573	0	1	1
1923	1	1	1	0	28	9422	0	1	0
1923	2	1	1	0	2	573	0	1	1
1950	1	1	1	0	2	573	0	1	1
1951	1	1	1	0	2	573	0	1	1
1952	1	1	1	0	2	573	0	1	1
1953	1	1	1	0	2	573	0	1	1
1954	1	1	1	0	2	573	0	1	1
1955	1	1	1	0	2	573	0	1	1
1955	2	1	1	0	2	573	0	1	1
1956	1	1	1	0	2	573	0	1	1
1957	1	1	1	0	28	9422	0	1	1
1958	1	1	1	0	28	9422	0	1	1
1959	1	1	1	0	28	9422	0	1	1
1960	1	1	1	0	28	9422	0	1	1
1961	1	1	1	0	28	9422	0	1	1
1988	2	1	1	0	2	573	0	1	1
1998	1	1	1	0	28	9422	0	1	1
1999	1	1	1	0	28	9422	0	1	1
2000	1	1	1	0	28	9422	0	1	1
2001	1	1	1	0	28	9422	0	1	1
2002	1	1	1	0	28	9422	0	1	1
2003	1	1	1	0	28	9422	0	1	1
2004	1	1	1	0	28	9422	0	1	1
2005	1	1	1	0	28	9422	0	1	1
2006	2	1	1	0	28	9422	0	1	1
2032	1	1	1	0	28	9422	0	1	1
2033	1	1	1	0	28	9422	0	1	1
2037	1	1	1	0	28	9422	0	1	0
2037	2	1	1	0	28	9422	0	1	0
2038	1	1	1	0	28	9422	0	1	1
2039	1	1	1	0	28	9422	0	1	1
2040	1	1	1	0	28	9422	0	1	1
2041	1	1	1	0	28	9422	0	1	1
2042	1	1	1	0	28	9422	0	1	1
2043	1	1	1	0	28	9422	0	1	1
2044	1	1	1	0	28	9422	1	0	1
2045	1	1	1	0	28	9422	0	1	1
2071	1	1	1	0	28	9422	0	1	0
2071	2	1	1	0	2	573	0	1	1
2086	1	1	1	0	2	573	0	1	1
2087	1	1	1	0	2	573	0	1	1
2088	1	1	1	0	2	573	0	1	1
2089	1	1	1	0	2	573	0	1	1
2089	2	1	1	0	2	573	0	1	1
2090	1	1	1	0	2	573	0	1	1
2091	1	1	1	0	2	573	0	1	1
2092	1	1	1	0	2	573	0	1	1
2093	1	1	1	0	28	9422	0	1	1
2120	1	1	1	0	28	9422	0	1	0
2120	2	1	1	0	2	573	0	1	1
2121	1	1	1	0	28	9422	0	1	1
2127	1	1	1	0	28	9422	1	0	1
2128	1	1	1	0	28	9422	0	1	1
2129	1	1	1	0	28	9422	0	1	1
2130	1	1	1	0	28	9422	0	1	1
2131	1	1	1	0	28	9422	0	1	1
2132	1	1	1	0	28	9422	0	1	1
2133	1	1	1	0	28	9422	0	1	1
2134	1	1	1	0	28	9422	0	1	1
2135	1	1	1	0	28	9422	0	1	1
2138	2	1	1	0	2	573	0	1	1
2162	1	1	1	0	28	9422	0	1	1
2163	1	1	1	0	28	9422	0	1	1
2168	2	1	1	0	2	573	0	1	1
2169	1	1	1	0	28	9422	0	1	1
2170	1	1	1	0	28	9422	0	1	1
2171	1	1	1	0	28	9422	0	1	1
2172	1	1	1	0	28	9422	0	1	1
2173	1	1	1	0	28	9422	0	1	1
2174	1	1	1	0	28	9422	0	1	1
2175	1	1	1	0	28	9422	0	1	1
2176	1	1	1	0	28	9422	0	1	1
2203	1	1	1	0	28	9422	0	1	0
2203	2	1	1	0	28	9422	0	1	0
2210	2	1	1	0	28	9422	1	0	1
2215	1	1	1	0	2	573	0	1	1
2216	1	1	1	0	2	573	0	1	1
2217	1	1	1	0	2	573	0	1	1
2218	1	1	1	0	2	573	0	1	1
2219	1	1	1	0	2	573	0	1	1
2220	1	1	1	0	2	573	0	1	1
2221	1	1	1	0	2	573	0	1	1
2221	2	1	1	0	28	9422	0	1	0
2222	1	1	1	0	28	9422	0	1	1
2249	1	1	1	0	2	573	0	1	1
2249	2	1	1	0	2	573	0	1	1
2250	1	1	1	0	2	573	0	1	1
2251	1	1	1	0	2	573	0	1	1
2252	1	1	1	0	2	573	0	1	1
2264	1	1	1	0	28	9422	0	1	1
2265	1	1	1	0	28	9422	0	1	1
2266	1	1	1	0	28	9422	0	1	1
2267	1	1	1	0	28	9422	0	1	0
2267	2	1	1	0	2	573	0	1	1
2268	1	1	1	0	28	9422	0	1	1
2269	1	1	1	0	28	9422	0	1	1
2270	1	1	1	0	28	9422	0	1	1
2271	1	1	1	0	28	9422	0	1	1
2298	1	1	1	0	2	573	0	1	1
2298	2	1	1	0	2	573	0	1	1
2299	1	1	1	0	2	573	0	1	1
2300	1	1	1	0	2	573	0	1	1
2301	1	1	1	0	2	573	0	1	1
2306	1	1	1	0	28	9422	0	1	1
2307	1	1	1	0	28	9422	0	1	1
2308	1	1	1	0	28	9422	0	1	1
2335	1	1	1	0	2	573	0	1	1
2335	2	1	1	0	2	573	0	1	1
2343	1	1	1	0	2	573	0	1	1
2344	1	1	1	0	2	573	0	1	1
2345	1	1	1	0	2	573	0	1	1
2346	1	1	1	0	2	573	0	1	1
2347	1	1	1	0	2	573	0	1	1
2353	2	1	1	0	2	573	0	1	1
2374	1	1	1	0	2	573	0	1	1
2375	1	1	1	0	2	573	0	1	1
2379	1	1	1	0	2	573	0	1	1
2379	2	1	1	0	2	573	0	1	1
2380	1	1	1	0	2	573	0	1	1
2381	1	1	1	0	28	9422	0	1	1
2382	1	1	1	0	28	9422	0	1	1
2383	1	1	1	0	28	9422	0	1	1
2384	1	1	1	0	28	9422	0	1	1
2385	1	1	1	0	28	9422	0	1	1
2386	1	1	1	0	2	573	0	1	1
2410	2	1	1	0	2	573	0	1	1
2411	1	1	1	0	2	573	0	1	1
2412	1	1	1	0	2	573	0	1	1
2413	1	1	1	0	2	573	0	1	1
2414	1	1	1	0	2	573	0	1	1
2415	1	1	1	0	2	573	0	1	1
2417	1	1	1	0	2	573	0	1	1
2418	1	1	1	0	28	9422	0	1	1
2419	1	1	1	0	28	9422	0	1	1
2420	1	1	1	0	28	9422	0	1	1
2421	1	1	1	0	28	9422	0	1	1
2428	2	1	1	0	28	9422	0	1	1
2446	2	1	1	0	28	9422	0	1	1
2447	1	1	1	0	2	573	0	1	1
2448	1	1	1	0	2	573	0	1	1
2449	1	1	1	0	2	573	0	1	1
2450	1	1	1	0	2	573	0	1	1
2451	1	1	1	0	2	573	0	1	1
2452	1	1	1	0	2	573	0	1	1
2453	1	1	1	0	2	573	0	1	1
2454	1	1	1	0	28	9422	0	1	1
2455	1	1	1	0	28	9422	0	1	1
2456	1	1	1	0	28	9422	0	1	1
2457	1	1	1	0	28	9422	0	1	1
2458	1	1	1	0	28	9422	0	1	1
2464	2	1	1	0	28	9422	0	1	1
2482	2	1	1	0	28	9422	0	1	1
2483	1	1	1	0	28	9422	0	1	1
2484	1	1	1	0	28	9422	0	1	1
2485	1	1	1	0	28	9422	0	1	1
2489	1	1	1	0	2	573	0	1	1
2490	1	1	1	0	28	9422	0	1	1
2491	1	1	1	0	28	9422	0	1	1
2492	1	1	1	0	28	9422	0	1	1
2493	1	1	1	0	28	9422	0	1	1
2500	2	1	1	0	28	9422	0	1	1
2518	2	1	1	0	28	9422	0	1	1
2519	1	1	1	0	28	9422	0	1	1
2520	1	1	1	0	28	9422	0	1	1
2521	1	1	1	0	28	9422	0	1	1
2525	1	1	1	0	28	9422	0	1	1
2526	1	1	1	0	28	9422	0	1	1
2527	1	1	1	0	2	573	0	1	1
2528	1	1	1	0	28	9422	0	1	1
2529	1	1	1	0	28	9422	0	1	1
2530	1	1	1	0	28	9422	0	1	1
2536	2	1	1	0	2	573	0	1	1
2554	2	1	1	0	28	9422	0	1	1
2555	1	1	1	0	28	9422	0	1	1
2556	1	1	1	0	28	9422	0	1	1
2557	1	1	1	0	28	9422	0	1	1
2561	1	1	1	0	28	9422	0	1	1
2562	1	1	1	0	28	9422	0	1	1
2563	1	1	1	0	28	9422	0	1	1
2564	1	1	1	0	28	9422	0	1	1
2565	1	1	1	0	28	9422	0	1	1
2572	2	1	1	0	2	573	0	1	1
2590	2	1	1	0	28	9422	0	1	1
2591	1	1	1	0	28	9422	0	1	1
2592	1	1	1	0	28	9422	0	1	1
2593	1	1	1	0	28	9422	0	1	1
2597	1	1	1	0	28	9422	0	1	1
2598	1	1	1	0	28	9422	0	1	1
2599	1	1	1	0	28	9422	0	1	1
2600	1	1	1	0	28	9422	0	1	1
2601	1	1	1	0	28	9422	0	1	1
2602	1	1	1	0	28	9422	0	1	1
2608	2	1	1	0	2	573	0	1	1
2626	2	1	1	0	28	9422	0	1	1
2627	1	1	1	0	28	9422	0	1	1
2628	1	1	1	0	28	9422	0	1	1
2629	1	1	1	0	28	9422	0	1	1
2633	1	1	1	0	28	9422	0	1	1
2634	1	1	1	0	28	9422	0	1	1
2635	1	1	1	0	28	9422	0	1	1
2636	1	1	1	0	28	9422	0	1	1
2637	1	1	1	0	28	9422	0	1	1
2644	2	1	1	0	28	9422	0	1	1
2662	2	1	1	0	28	9422	0	1	1
2663	1	1	1	0	2	573	0	1	1
2664	1	1	1	0	2	573	0	1	1
2665	1	1	1	0	2	573	0	1	1
2666	1	1	1	0	2	573	0	1	1
2667	1	1	1	0	2	573	0	1	1
2668	1	1	1	0	2	573	0	1	1
2669	1	1	1	0	2	573	0	1	1
2670	1	1	1	0	28	9422	0	1	1
2671	1	1	1	0	28	9422	0	1	1
2672	1	1	1	0	28	9422	0	1	1
2673	1	1	1	0	28	9422	0	1	1
2674	1	1	1	0	28	9422	0	1	1
2680	2	1	1	0	28	9422	0	1	1
2698	2	1	1	0	2	573	0	1	1
2699	1	1	1	0	2	573	0	1	1
2700	1	1	1	0	2	573	0	1	1
2701	1	1	1	0	2	573	0	1	1
2702	1	1	1	0	2	573	0	1	1
2705	1	1	1	0	2	573	0	1	1
2706	1	1	1	0	28	9422	0	1	1
2707	1	1	1	0	28	9422	0	1	1
2708	1	1	1	0	28	9422	0	1	1
2709	1	1	1	0	28	9422	0	1	1
2716	2	1	1	0	28	9422	0	1	1
2734	2	1	1	0	2	573	0	1	1
2735	1	1	1	0	2	573	0	1	1
2736	1	1	1	0	2	573	0	1	1
2737	1	1	1	0	2	573	0	1	1
2738	1	1	1	0	2	573	0	1	1
2739	1	1	1	0	2	573	0	1	1
2740	1	1	1	0	2	573	0	1	1
2741	1	1	1	0	2	573	0	1	1
2742	1	1	1	0	28	9422	0	1	1
2743	1	1	1	0	28	9422	0	1	1
2744	1	1	1	0	28	9422	0	1	1
2745	1	1	1	0	28	9422	0	1	1
2746	1	1	1	0	28	9422	0	1	1
2752	2	1	1	0	28	9422	0	1	1
2770	2	1	1	0	2	573	0	1	1
2771	1	1	1	0	2	573	0	1	1
2772	1	1	1	0	2	573	0	1	1
2773	1	1	1	0	2	573	0	1	1
2774	1	1	1	0	2	573	0	1	1
2777	1	1	1	0	2	573	0	1	1
2778	1	1	1	0	28	9422	0	1	1
2779	1	1	1	0	28	9422	0	1	1
2780	1	1	1	0	28	9422	0	1	1
2781	1	1	1	0	28	9422	0	1	1
2788	2	1	1	0	28	9422	0	1	1
2806	2	1	1	0	28	9422	0	1	1
2807	1	1	1	0	2	573	0	1	1
2808	1	1	1	0	2	573	0	1	1
2809	1	1	1	0	2	573	0	1	1
2810	1	1	1	0	2	573	0	1	1
2811	1	1	1	0	2	573	0	1	1
2812	1	1	1	0	2	573	0	1	1
2813	1	1	1	0	2	573	0	1	1
2814	1	1	1	0	28	9422	0	1	1
2815	1	1	1	0	28	9422	0	1	1
