% time	cellId	IMSI	RNTI	sinrLinear
4.241	2	1	1	0.999998
4.281	1	1	1	0.999998
4.281	2	1	1	0.999998
4.321	1	1	1	0.999998
4.321	2	1	1	0.999998
4.361	1	1	1	0.999998
4.361	2	1	1	0.999998
4.401	1	1	1	0.999998
4.401	2	1	1	0.999998
4.441	1	1	1	0.999998
4.441	2	1	1	0.999998
4.481	1	1	1	0.999998
4.481	2	1	1	0.999998
4.521	1	1	1	0.999998
4.521	2	1	1	0.999998
4.561	1	1	1	0.999998
4.561	2	1	1	0.999998
4.601	1	1	1	0.999998
4.601	2	1	1	0.999998
4.641	1	1	1	0.999998
4.641	2	1	1	0.999998
4.681	1	1	1	0.999998
4.681	2	1	1	0.999998
4.721	1	1	1	0.999998
4.721	2	1	1	0.999998
4.761	1	1	1	0.999998
4.761	2	1	1	0.999998
4.801	1	1	1	0.999998
4.801	2	1	1	0.999998
4.841	1	1	1	0.999998
4.841	2	1	1	0.999998
4.881	1	1	1	0.999998
4.881	2	1	1	0.999998
4.921	1	1	1	0.999998
4.921	2	1	1	0.999998
4.961	1	1	1	0.999998
4.961	2	1	1	0.999998
5.001	1	1	1	0.999998
5.001	2	1	1	0.999998
5.041	1	1	1	0.999998
5.041	2	1	1	0.999998
5.081	1	1	1	0.999998
5.081	2	1	1	0.999998
5.121	1	1	1	0.999998
5.121	2	1	1	0.999998
5.161	1	1	1	0.999998
5.161	2	1	1	0.999998
5.201	1	1	1	0.999998
5.201	2	1	1	0.999998
5.241	1	1	1	0.999998
5.241	2	1	1	0.999998
5.281	1	1	1	0.999998
5.281	2	1	1	0.999998
5.321	1	1	1	0.999998
5.321	2	1	1	0.999998
5.361	1	1	1	0.999998
5.361	2	1	1	0.999998
5.401	1	1	1	0.999998
5.401	2	1	1	0.999998
5.441	1	1	1	0.999998
5.441	2	1	1	0.999998
5.481	1	1	1	0.999998
5.481	2	1	1	0.999998
