% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1583	2	1	1	0	28	9422	0	1
1584	2	1	1	0	28	9422	0	1
1585	2	1	1	0	28	9422	0	1
1586	2	1	1	0	28	9422	0	1
1587	1	1	1	0	28	9422	0	1
1587	2	1	1	0	28	9422	0	1
1588	2	1	1	0	28	9422	0	1
1589	2	1	1	0	28	9422	0	1
1590	2	1	1	0	28	9422	0	1
1591	2	1	1	0	28	9422	0	1
1592	2	1	1	0	28	9422	0	1
1593	2	1	1	0	28	9422	0	1
1594	2	1	1	0	28	9422	0	1
1599	2	1	1	0	28	9422	0	1
1600	2	1	1	0	28	9422	0	1
1601	2	1	1	0	28	9422	0	1
1602	2	1	1	0	28	9422	0	1
1603	2	1	1	0	28	9422	0	1
1604	2	1	1	0	28	9422	0	1
1605	2	1	1	0	28	9422	0	1
1606	2	1	1	0	28	9422	0	1
1611	2	1	1	0	28	9422	0	1
1612	2	1	1	0	28	9422	0	1
1613	2	1	1	0	28	9422	0	1
1614	2	1	1	0	28	9422	0	1
1615	2	1	1	0	28	9422	0	1
1616	2	1	1	0	28	9422	0	1
1617	2	1	1	0	28	9422	0	1
1618	2	1	1	0	28	9422	0	1
1619	2	1	1	0	28	9422	0	1
1620	2	1	1	0	28	9422	0	1
1621	1	1	1	0	28	9422	0	1
1621	2	1	1	0	28	9422	0	1
1622	2	1	1	0	28	9422	0	1
1623	2	1	1	0	28	9422	0	1
1624	2	1	1	0	28	9422	0	1
1625	2	1	1	0	28	9422	0	1
1626	2	1	1	0	28	9422	0	1
1627	2	1	1	0	28	9422	0	1
1628	2	1	1	0	28	9422	0	1
1629	2	1	1	0	28	9422	0	1
1630	2	1	1	0	28	9422	0	1
1631	2	1	1	0	28	9422	0	1
1632	1	1	1	0	28	9422	0	1
1632	2	1	1	0	28	9422	0	1
1637	2	1	1	0	28	9422	0	1
1638	2	1	1	0	28	9422	0	1
1639	2	1	1	0	28	9422	0	1
1640	2	1	1	0	28	9422	0	1
1641	2	1	1	0	28	9422	0	1
1642	2	1	1	0	28	9422	0	1
1643	2	1	1	0	28	9422	0	1
1644	2	1	1	0	28	9422	0	1
1649	2	1	1	0	28	9422	0	1
1650	2	1	1	0	28	9422	0	1
1651	2	1	1	0	28	9422	0	1
1652	2	1	1	0	28	9422	0	1
1653	2	1	1	0	28	9422	0	1
1654	2	1	1	0	28	9422	0	1
1655	2	1	1	0	28	9422	0	1
1656	2	1	1	0	28	9422	0	1
1657	2	1	1	0	28	9422	0	1
1658	2	1	1	0	28	9422	0	1
1659	2	1	1	0	28	9422	0	1
1660	2	1	1	0	28	9422	0	1
1661	2	1	1	0	28	9422	0	1
1662	2	1	1	0	28	9422	0	1
1663	2	1	1	0	28	9422	0	1
1664	2	1	1	0	28	9422	0	1
1665	2	1	1	0	28	9422	0	1
1666	2	1	1	0	28	9422	0	1
1667	2	1	1	0	28	9422	0	1
1668	2	1	1	0	28	9422	0	1
1669	1	1	1	0	28	9422	0	1
1669	2	1	1	0	28	9422	0	1
1670	2	1	1	0	28	9422	0	1
1671	2	1	1	0	28	9422	0	1
1672	2	1	1	0	28	9422	0	1
1673	2	1	1	0	28	9422	0	1
1674	2	1	1	0	28	9422	0	1
1675	2	1	1	0	28	9422	0	1
1676	2	1	1	0	28	9422	0	1
1681	2	1	1	0	28	9422	0	1
1682	2	1	1	0	28	9422	0	1
1683	2	1	1	0	28	9422	0	1
1684	2	1	1	0	28	9422	0	1
1685	2	1	1	0	28	9422	0	1
1686	2	1	1	0	28	9422	0	1
1687	2	1	1	0	28	9422	0	1
1688	2	1	1	0	28	9422	0	1
1693	2	1	1	0	28	9422	0	1
1694	2	1	1	0	28	9422	0	1
1695	2	1	1	0	28	9422	0	1
1696	2	1	1	0	28	9422	0	1
1697	2	1	1	0	28	9422	0	1
1698	2	1	1	0	28	9422	0	1
1699	2	1	1	0	28	9422	0	1
1700	2	1	1	0	28	9422	0	1
1701	2	1	1	0	28	9422	0	1
1702	2	1	1	0	28	9422	0	1
1703	1	1	1	0	28	9422	0	1
1703	2	1	1	0	28	9422	0	1
1704	2	1	1	0	28	9422	0	1
1705	2	1	1	0	28	9422	0	1
1706	2	1	1	0	28	9422	0	1
1707	2	1	1	0	28	9422	0	1
1708	2	1	1	0	28	9422	0	1
1709	2	1	1	0	28	9422	0	1
1710	2	1	1	0	28	9422	0	1
1711	2	1	1	0	28	9422	0	1
1712	2	1	1	0	28	9422	0	1
1713	2	1	1	0	28	9422	0	1
1714	1	1	1	0	28	9422	0	1
1714	2	1	1	0	28	9422	0	1
1715	2	1	1	0	28	9422	0	1
1720	2	1	1	0	28	9422	0	1
1721	2	1	1	0	28	9422	0	1
1722	2	1	1	0	28	9422	0	1
1723	2	1	1	0	28	9422	0	1
1724	2	1	1	0	28	9422	0	1
1725	2	1	1	0	28	9422	0	1
1726	2	1	1	0	28	9422	0	1
1727	2	1	1	0	28	9422	0	1
1732	2	1	1	0	28	9422	0	1
1733	2	1	1	0	28	9422	0	1
1734	2	1	1	0	28	9422	0	1
1735	2	1	1	0	28	9422	0	1
1736	2	1	1	0	28	9422	0	1
1737	2	1	1	0	28	9422	0	1
1738	2	1	1	0	28	9422	0	1
1739	2	1	1	0	28	9422	0	1
1740	2	1	1	0	28	9422	0	1
1741	2	1	1	0	28	9422	0	1
1742	1	1	1	0	28	9422	0	1
1742	2	1	1	0	28	9422	0	1
1743	2	1	1	0	28	9422	0	1
1744	2	1	1	0	28	9422	0	1
1745	2	1	1	0	28	9422	0	1
1746	2	1	1	0	28	9422	0	1
1747	2	1	1	0	28	9422	0	1
1748	2	1	1	0	28	9422	0	1
1749	2	1	1	0	28	9422	0	1
1750	2	1	1	0	28	9422	0	1
1751	2	1	1	0	28	9422	0	1
1752	2	1	1	0	28	9422	0	1
1753	1	1	1	0	28	9422	0	1
1753	2	1	1	0	28	9422	0	1
1754	2	1	1	0	28	9422	0	1
1755	2	1	1	0	28	9422	0	1
1756	2	1	1	0	28	9422	0	1
1757	2	1	1	0	28	9422	0	1
1758	2	1	1	0	28	9422	0	1
1759	2	1	1	0	28	9422	0	1
1760	2	1	1	0	28	9422	0	1
1765	2	1	1	0	28	9422	0	1
1766	2	1	1	0	28	9422	0	1
1767	2	1	1	0	28	9422	0	1
1768	2	1	1	0	28	9422	0	1
1769	2	1	1	0	28	9422	0	1
1770	2	1	1	0	28	9422	0	1
1771	2	1	1	0	28	9422	0	1
1772	2	1	1	0	28	9422	0	1
1777	2	1	1	0	28	9422	0	1
1778	2	1	1	0	28	9422	0	1
1779	2	1	1	0	28	9422	0	1
1780	2	1	1	0	28	9422	0	1
1781	2	1	1	0	28	9422	0	1
1782	2	1	1	0	28	9422	0	1
1783	2	1	1	0	28	9422	0	1
1784	2	1	1	0	28	9422	0	1
1785	2	1	1	0	28	9422	0	1
1786	2	1	1	0	28	9422	0	1
1787	1	1	1	0	28	9422	0	1
1787	2	1	1	0	28	9422	0	1
1788	2	1	1	0	28	9422	0	1
1789	2	1	1	0	28	9422	0	1
1790	2	1	1	0	28	9422	0	1
1791	2	1	1	0	28	9422	0	1
1792	2	1	1	0	28	9422	0	1
1793	2	1	1	0	28	9422	0	1
1794	2	1	1	0	28	9422	0	1
1795	2	1	1	0	28	9422	0	1
1796	2	1	1	0	28	9422	0	1
1797	2	1	1	0	28	9422	0	1
1798	1	1	1	0	28	9422	0	1
1798	2	1	1	0	28	9422	0	1
1803	2	1	1	0	28	9422	0	1
1804	2	1	1	0	28	9422	0	1
1805	2	1	1	0	28	9422	0	1
1806	2	1	1	0	28	9422	0	1
1807	2	1	1	0	28	9422	0	1
1808	2	1	1	0	28	9422	0	1
1809	2	1	1	0	28	9422	0	1
1810	2	1	1	0	28	9422	0	1
1815	2	1	1	0	28	9422	0	1
1816	2	1	1	0	28	9422	0	1
1817	2	1	1	0	28	9422	0	1
1818	2	1	1	0	28	9422	0	1
1819	2	1	1	0	28	9422	0	1
1820	2	1	1	0	28	9422	0	1
1821	2	1	1	0	28	9422	0	1
1822	2	1	1	0	28	9422	0	1
1823	2	1	1	0	28	9422	0	1
1824	2	1	1	0	28	9422	0	1
1825	2	1	1	0	28	9422	0	1
1826	2	1	1	0	28	9422	0	1
1827	2	1	1	0	28	9422	0	1
1828	2	1	1	0	28	9422	0	1
